Gesture Number,Duration (s),Timestamp,Severity Level
4,0.057763,05-11-2025 20:11,0
5,0.085343,05-11-2025 20:11,0
6,0.05818,05-11-2025 20:11,0
7,0.116183,05-11-2025 20:11,0
8,0.108281,05-11-2025 20:11,0
9,0.085202,05-11-2025 20:11,0
10,0.028966,05-11-2025 20:11,0
11,0.07653,05-11-2025 20:11,0
12,0.088021,05-11-2025 20:11,0
13,0.088361,05-11-2025 20:11,0
14,0.057655,05-11-2025 20:11,0
15,0.087072,05-11-2025 20:11,0
16,0.128216,05-11-2025 20:11,0
1,0.059986,05-11-2025 20:11,0
2,0.059255,05-11-2025 20:11,0
3,0.058647,05-11-2025 20:11,0
4,0.058197,05-11-2025 20:11,0
5,0.059802,05-11-2025 20:11,0
6,0.058912,05-11-2025 20:11,0
7,0.059272,05-11-2025 20:11,0
8,0.059008,05-11-2025 20:11,0
9,0.091526,05-11-2025 20:11,0
10,0.087815,05-11-2025 20:11,0
11,0.061162,05-11-2025 20:11,0
12,0.028995,05-11-2025 20:11,0
13,0.059711,05-11-2025 20:11,0
14,0.058731,05-11-2025 20:11,0
15,0.266804,05-11-2025 20:11,0
1,0.119308,05-11-2025 20:12,0
2,0.115717,05-11-2025 20:12,0
3,0.14635,05-11-2025 20:12,0
4,0.168609,05-11-2025 20:12,0
5,0.116995,05-11-2025 20:12,0
6,0.117597,05-11-2025 20:12,0
7,0.111531,05-11-2025 20:12,0
8,0.140197,05-11-2025 20:12,0
9,0.114971,05-11-2025 20:12,0
10,0.117592,05-11-2025 20:12,0
11,0.167954,05-11-2025 20:12,0
12,0.088548,05-11-2025 20:12,0
13,0.169485,05-11-2025 20:12,0
14,0.123619,05-11-2025 20:12,0
1,0.142969,05-11-2025 20:13,2
2,0.11984,05-11-2025 20:13,2
3,0.147434,05-11-2025 20:13,2
4,0.121497,05-11-2025 20:13,2
5,0.057921,05-11-2025 20:13,2
6,0.086954,05-11-2025 20:13,2
7,0.066641,05-11-2025 20:13,2
8,0.058189,05-11-2025 20:13,2
9,0.059216,05-11-2025 20:13,2
10,0.059978,05-11-2025 20:13,2
11,0.059092,05-11-2025 20:13,2
12,0.059282,05-11-2025 20:13,2
13,0.058764,05-11-2025 20:13,2
14,0.087452,05-11-2025 20:13,2
15,0.086849,05-11-2025 20:13,2
1,0.160569,05-11-2025 20:15,1
2,0.096041,05-11-2025 20:15,1
3,0.114842,05-11-2025 20:15,1
4,0.088301,05-11-2025 20:15,1
5,0.0871,05-11-2025 20:15,1
6,0.087887,05-11-2025 20:15,1
7,0.057799,05-11-2025 20:15,1
8,0.088133,05-11-2025 20:15,1
9,0.061304,05-11-2025 20:15,1
10,0.086956,05-11-2025 20:15,1
11,0.08601,05-11-2025 20:15,1
12,0.058406,05-11-2025 20:15,1
13,0.085571,05-11-2025 20:15,1
14,0.086152,05-11-2025 20:15,1
